ip.src,ip.dst,tcp.seq,tcp.nxtseq,tcp.ack,_ws.col.Time,_ws.col.Protocol
10.1.1.3,10.1.1.2,0,1,0,0.000000,TCP
10.1.1.3,10.1.1.2,0,1,0,1.018794,TCP
10.1.1.2,10.1.1.3,0,1,1,1.019522,TCP
10.1.1.3,10.1.1.2,1,1,1,1.019578,TCP
10.1.1.3,10.1.1.2,1,144,1,1.019641,HTTP
10.1.1.2,10.1.1.3,1,1,144,1.020307,TCP
10.1.1.2,10.1.1.3,1,329,144,1.021283,HTTP
10.1.1.3,10.1.1.2,144,144,329,1.021314,TCP
10.1.1.3,10.1.1.2,144,145,329,1.024677,TCP
10.1.1.2,10.1.1.3,329,330,145,1.025430,TCP
10.1.1.3,10.1.1.2,145,145,330,1.025450,TCP
10.1.1.3,10.1.1.2,0,1,0,2.030339,TCP
10.1.1.2,10.1.1.3,0,1,1,2.031021,TCP
10.1.1.3,10.1.1.2,1,1,1,2.031040,TCP
10.1.1.3,10.1.1.2,1,144,1,2.031098,HTTP
10.1.1.2,10.1.1.3,1,1,144,2.031715,TCP
10.1.1.2,10.1.1.3,1,329,144,2.032328,HTTP
10.1.1.3,10.1.1.2,144,144,329,2.032359,TCP
10.1.1.3,10.1.1.2,144,145,329,2.035701,TCP
10.1.1.2,10.1.1.3,329,330,145,2.036455,TCP
10.1.1.3,10.1.1.2,145,145,330,2.036492,TCP
10.1.1.3,10.1.1.2,0,1,0,3.042124,TCP
10.1.1.2,10.1.1.3,0,1,1,3.042795,TCP
10.1.1.3,10.1.1.2,1,1,1,3.042834,TCP
10.1.1.3,10.1.1.2,1,144,1,3.042902,HTTP
10.1.1.2,10.1.1.3,1,1,144,3.043552,TCP
10.1.1.2,10.1.1.3,1,329,144,3.044062,HTTP
10.1.1.3,10.1.1.2,144,144,329,3.044082,TCP
10.1.1.3,10.1.1.2,144,145,329,3.047684,TCP
10.1.1.2,10.1.1.3,329,330,145,3.048424,TCP
10.1.1.3,10.1.1.2,145,145,330,3.048461,TCP
10.1.1.3,10.1.1.2,0,1,0,4.054279,TCP
10.1.1.2,10.1.1.3,0,1,1,4.054987,TCP
10.1.1.3,10.1.1.2,1,1,1,4.055028,TCP
10.1.1.3,10.1.1.2,1,144,1,4.055111,HTTP
10.1.1.2,10.1.1.3,1,1,144,4.055767,TCP
10.1.1.2,10.1.1.3,1,329,144,4.056207,HTTP
10.1.1.3,10.1.1.2,144,144,329,4.056240,TCP
10.1.1.3,10.1.1.2,144,145,329,4.059765,TCP
10.1.1.2,10.1.1.3,329,330,145,4.060527,TCP
10.1.1.3,10.1.1.2,145,145,330,4.060568,TCP
10.1.1.3,10.1.1.2,0,1,0,5.066432,TCP
10.1.1.2,10.1.1.3,0,1,1,5.067131,TCP
10.1.1.3,10.1.1.2,1,1,1,5.067168,TCP
10.1.1.3,10.1.1.2,1,144,1,5.067239,HTTP
10.1.1.2,10.1.1.3,1,1,144,5.067892,TCP
10.1.1.2,10.1.1.3,1,329,144,5.068363,HTTP
10.1.1.3,10.1.1.2,144,144,329,5.068383,TCP
10.1.1.3,10.1.1.2,144,145,329,5.071761,TCP
10.1.1.2,10.1.1.3,329,330,145,5.072518,TCP
10.1.1.3,10.1.1.2,145,145,330,5.072553,TCP
10.1.1.3,10.1.1.2,0,1,0,6.085110,TCP
10.1.1.2,10.1.1.3,0,1,1,6.085818,TCP
10.1.1.3,10.1.1.2,1,1,1,6.085873,TCP
10.1.1.3,10.1.1.2,1,144,1,6.085959,HTTP
10.1.1.2,10.1.1.3,1,1,144,6.086608,TCP
10.1.1.2,10.1.1.3,1,329,144,6.087071,HTTP
10.1.1.3,10.1.1.2,144,144,329,6.087103,TCP
10.1.1.3,10.1.1.2,144,145,329,6.090097,TCP
10.1.1.2,10.1.1.3,329,330,145,6.090816,TCP
10.1.1.3,10.1.1.2,145,145,330,6.090840,TCP
10.1.1.3,10.1.1.2,0,1,0,7.096779,TCP
10.1.1.2,10.1.1.3,0,1,1,7.097471,TCP
10.1.1.3,10.1.1.2,1,1,1,7.097509,TCP
10.1.1.3,10.1.1.2,1,144,1,7.097575,HTTP
10.1.1.3,10.1.1.2,1,144,1,7.298788,TCP
10.1.1.2,10.1.1.3,1,1,144,7.299493,TCP
10.1.1.2,10.1.1.3,1,329,144,7.299924,HTTP
10.1.1.3,10.1.1.2,144,144,329,7.299944,TCP
10.1.1.3,10.1.1.2,144,145,329,7.303107,TCP
10.1.1.2,10.1.1.3,329,330,145,7.303852,TCP
10.1.1.3,10.1.1.2,145,145,330,7.303888,TCP
10.1.1.3,10.1.1.2,0,1,0,8.309101,TCP
10.1.1.2,10.1.1.3,0,1,1,8.309815,TCP
10.1.1.3,10.1.1.2,1,1,1,8.309852,TCP
10.1.1.3,10.1.1.2,1,144,1,8.309918,HTTP
10.1.1.2,10.1.1.3,1,1,144,8.310521,TCP
10.1.1.2,10.1.1.3,1,329,144,8.310943,HTTP
10.1.1.3,10.1.1.2,144,144,329,8.310955,TCP
10.1.1.3,10.1.1.2,144,145,329,8.314204,TCP
10.1.1.2,10.1.1.3,329,330,145,8.314875,TCP
10.1.1.3,10.1.1.2,145,145,330,8.314886,TCP
10.1.1.3,10.1.1.2,0,1,0,9.320599,TCP
10.1.1.2,10.1.1.3,0,1,1,9.321293,TCP
10.1.1.3,10.1.1.2,1,1,1,9.321329,TCP
10.1.1.3,10.1.1.2,1,144,1,9.321394,HTTP
10.1.1.2,10.1.1.3,1,1,144,9.322038,TCP
10.1.1.2,10.1.1.3,1,329,144,9.322471,HTTP
10.1.1.3,10.1.1.2,144,144,329,9.322490,TCP
10.1.1.3,10.1.1.2,144,145,329,9.325910,TCP
10.1.1.2,10.1.1.3,329,330,145,9.326647,TCP
10.1.1.3,10.1.1.2,145,145,330,9.326676,TCP
10.1.1.3,10.1.1.2,0,1,0,10.332696,TCP
10.1.1.2,10.1.1.3,0,1,1,10.333385,TCP
10.1.1.3,10.1.1.2,1,1,1,10.333434,TCP
10.1.1.3,10.1.1.2,1,144,1,10.333496,HTTP
10.1.1.2,10.1.1.3,1,1,144,10.334140,TCP
10.1.1.2,10.1.1.3,1,329,144,10.334593,HTTP
10.1.1.3,10.1.1.2,144,144,329,10.334625,TCP
10.1.1.3,10.1.1.2,144,145,329,10.337795,TCP
10.1.1.2,10.1.1.3,329,330,145,10.338556,TCP
10.1.1.3,10.1.1.2,145,145,330,10.338588,TCP
10.1.1.3,10.1.1.2,0,1,0,11.344059,TCP
10.1.1.2,10.1.1.3,0,1,1,11.344748,TCP
10.1.1.3,10.1.1.2,1,1,1,11.344795,TCP
10.1.1.3,10.1.1.2,1,144,1,11.344852,HTTP
10.1.1.2,10.1.1.3,1,1,144,11.345444,TCP
10.1.1.2,10.1.1.3,1,329,144,11.346307,HTTP
10.1.1.3,10.1.1.2,144,144,329,11.346340,TCP
10.1.1.3,10.1.1.2,144,145,329,11.351874,TCP
10.1.1.2,10.1.1.3,329,330,145,11.352594,TCP
10.1.1.3,10.1.1.2,145,145,330,11.352628,TCP
10.1.1.3,10.1.1.2,0,1,0,12.358739,TCP
10.1.1.2,10.1.1.3,0,1,1,12.359421,TCP
