ip.src,ip.dst,tcp.seq,tcp.nxtseq,tcp.ack,_ws.col.Time,_ws.col.Protocol
10.1.1.3,10.1.1.2,0,1,0,0.000000,TCP
10.1.1.2,10.1.1.3,0,1,1,0.000204,TCP
10.1.1.3,10.1.1.2,1,1,1,0.000235,TCP
10.1.1.3,10.1.1.2,1,144,1,0.000285,HTTP
10.1.1.2,10.1.1.3,1,1,144,0.000448,TCP
10.1.1.2,10.1.1.3,1,320,144,0.000733,HTTP
10.1.1.3,10.1.1.2,144,144,320,0.000748,TCP
10.1.1.3,10.1.1.2,144,145,320,0.003742,TCP
10.1.1.2,10.1.1.3,320,321,145,0.004022,TCP
10.1.1.3,10.1.1.2,145,145,321,0.004041,TCP
10.1.1.3,10.1.1.2,0,1,0,1.008205,TCP
10.1.1.2,10.1.1.3,0,1,1,1.008398,TCP
10.1.1.3,10.1.1.2,1,1,1,1.008424,TCP
10.1.1.3,10.1.1.2,1,144,1,1.008472,HTTP
10.1.1.2,10.1.1.3,1,1,144,1.008647,TCP
10.1.1.2,10.1.1.3,1,320,144,1.008934,HTTP
10.1.1.3,10.1.1.2,144,144,320,1.008948,TCP
10.1.1.3,10.1.1.2,144,145,320,1.011693,TCP
10.1.1.2,10.1.1.3,320,321,145,1.011972,TCP
10.1.1.3,10.1.1.2,145,145,321,1.011991,TCP
10.1.1.3,10.1.1.2,0,1,0,2.016021,TCP
10.1.1.2,10.1.1.3,0,1,1,2.016307,TCP
10.1.1.3,10.1.1.2,1,1,1,2.016336,TCP
10.1.1.3,10.1.1.2,1,144,1,2.016387,HTTP
10.1.1.2,10.1.1.3,1,1,144,2.016556,TCP
10.1.1.2,10.1.1.3,1,320,144,2.016812,HTTP
10.1.1.3,10.1.1.2,144,144,320,2.016826,TCP
10.1.1.3,10.1.1.2,144,145,320,2.019724,TCP
10.1.1.2,10.1.1.3,320,321,145,2.020010,TCP
10.1.1.3,10.1.1.2,145,145,321,2.020030,TCP
10.1.1.3,10.1.1.2,0,1,0,3.024342,TCP
10.1.1.2,10.1.1.3,0,1,1,3.024638,TCP
10.1.1.3,10.1.1.2,1,1,1,3.024668,TCP
10.1.1.3,10.1.1.2,1,144,1,3.024718,HTTP
10.1.1.2,10.1.1.3,1,1,144,3.024877,TCP
10.1.1.2,10.1.1.3,1,320,144,3.025147,HTTP
10.1.1.3,10.1.1.2,144,144,320,3.025161,TCP
10.1.1.3,10.1.1.2,144,145,320,3.028034,TCP
10.1.1.2,10.1.1.3,320,321,145,3.028320,TCP
10.1.1.3,10.1.1.2,145,145,321,3.028340,TCP
10.1.1.3,10.1.1.2,0,1,0,4.032602,TCP
10.1.1.2,10.1.1.3,0,1,1,4.032792,TCP
10.1.1.3,10.1.1.2,1,1,1,4.032819,TCP
10.1.1.3,10.1.1.2,1,144,1,4.032870,HTTP
10.1.1.2,10.1.1.3,1,1,144,4.033040,TCP
10.1.1.2,10.1.1.3,1,320,144,4.033316,HTTP
10.1.1.3,10.1.1.2,144,144,320,4.033330,TCP
10.1.1.3,10.1.1.2,144,145,320,4.036333,TCP
10.1.1.2,10.1.1.3,320,321,145,4.036593,TCP
10.1.1.3,10.1.1.2,145,145,321,4.036613,TCP
10.1.1.3,10.1.1.2,0,1,0,5.041201,TCP
10.1.1.2,10.1.1.3,0,1,1,5.041389,TCP
